user,time,date,transaction,amount,account
test1@gmail.com,1:38,2022-09-09,deposit,1000,
test1@gmail.com,1:38,2022-09-09,deposit,1000,
test1@gmail.com,1:49,2022-09-09,deposit,1000,
test1@gmail.com,1:54,2022-09-09,withdrawal,1000,
test1@gmail.com,2:5,2022-09-09,withdrawal,1000,
test1@gmail.com,2:6,2022-09-09,withdrawal,1000,
test1@gmail.com,2:6,2022-09-09,deposit,1000,
test1@gmail.com,2:20,2022-09-09,withdrawal,1000,
test1@gmail.com,10:4,2022-09-09,deposit,1000,
test1@gmail.com,10:4,2022-09-09,withdrawal,1000,
joshua@dukka.com,11:0,2022-09-09,deposit,10000,
joshua@dukka.com,11:12,2022-09-09,transfer,3000,Test 1
test1@gmail.com,12:18,2022-09-09,deposit,1000,
test1@gmail.com,12:18,2022-09-09,withdrawal,1000,
test1@gmail.com,12:18,2022-09-09,deposit,1000,
test1@gmail.com,12:18,2022-09-09,withdrawal,1000,
test1@gmail.com,12:22,2022-09-09,deposit,1000,
test1@gmail.com,12:22,2022-09-09,withdrawal,1000,
test1@gmail.com,12:27,2022-09-09,deposit,1000,
test1@gmail.com,12:27,2022-09-09,withdrawal,1000,
test1@gmail.com,12:29,2022-09-09,deposit,1000,
test1@gmail.com,12:29,2022-09-09,withdrawal,1000,
